,parameters,num Non-Aliased,llh,dev,dof,css
0,intercept,1,-5413.971792034018,-,-,-
1,MSTATUS,2,-5343.629436294411,140.68471147921446,1,1.8857568201483726e-32
2,CAR_TYPE,6,-5336.54996058393,154.84366290017533,5,1.2421426212773871e-31
3,REVOKED,2,-5312.143428227143,203.65672761375026,1,3.3257320833145798e-46
4,URBANICITY,2,-5124.889700029492,578.1641840090524,1,9.40609052421433e-128
5,CAR_AGE,2,-5362.82419253651,102.29519899501611,1,4.7835000526004426e-24
6,MVR_PTS,2,-5199.195270913302,429.5530422414322,1,2.033145578992566e-95
7,TIF,2,-5382.98715290052,61.96927826699539,1,3.488576989067524e-15
8,TRAVTIME,2,-5400.307780785542,27.328022496953054,1,1.7170492195554083e-07
